ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,prod_long_desc,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,age_group,set_number,year_released,number_of_parts,image_url
12+,99.99,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030.0,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focuses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
Build a detailed model of the United States Capitol Building!
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
United States Capitol Building measures 6 inches high, 17 inches wide, and 6 inches deep
1,032 pieces – For boys and girls over the age of 12 years old
This model of the United States Capitol Building matches the scale of the LEGO Architecture Lincoln Memorial 21022",Average,United States Capitol Building,4.6,Architecture,4.3,US,Niños mayores - Adultos,21030-1,2016.0,1032.0,https://cdn.rebrickable.com/media/sets/21030-1.jpg
12+,113.9924,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030.0,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focusses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
LEGO® Architecture interpretation of the real-world architectural landmark, the United States Capitol Building.
Features the Capitol's neoclassical façade, dome, colonnades, north and south wings, steps and lawns.
Remove the dome to access the rotunda, featuring columns, 8 statue elements and a tiled floor.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
Collect the entire LEGO® Architecture series.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, history and architecture.
This set includes over 1,000 LEGO® pieces.
The scale of this model matches the LEGO® Architecture 21022 Lincoln Memorial.
This set offers an age-appropriate building experience for ages 12+.
Measures over 6” (16cm) high, 17” (44cm) wide and 5”(14cm) deep.",Average,United States Capitol Building,4.6,Architecture,4.3,AU,Niños mayores - Adultos,21030-1,2016.0,1032.0,https://cdn.rebrickable.com/media/sets/21030-1.jpg
12+,121.9878,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030.0,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focusses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
LEGO® Architecture interpretation of the real-world architectural landmark, the United States Capitol Building.
Features the Capitol's neoclassical façade, dome, colonnades, north and south wings, steps and lawns.
Remove the dome to access the rotunda, featuring columns, 8 statue elements and a tiled floor.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
Collect the entire LEGO® Architecture series.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, history and architecture.
This set includes over 1,000 LEGO® pieces.
The scale of this model matches the LEGO® Architecture 21022 Lincoln Memorial.
This set offers an age-appropriate building experience for ages 12+.
Measures over 6” (16cm) high, 17” (44cm) wide and 5”(14cm) deep.",Average,United States Capitol Building,4.6,Architecture,4.3,AT,Niños mayores - Adultos,21030-1,2016.0,1032.0,https://cdn.rebrickable.com/media/sets/21030-1.jpg
12+,134.18779999999998,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030.0,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focusses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
LEGO® Architecture interpretation of the real-world architectural landmark, the United States Capitol Building.
Features the Capitol's neoclassical façade, dome, colonnades, north and south wings, steps and lawns.
Remove the dome to access the rotunda, featuring columns, 8 statue elements and a tiled floor.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
Collect the entire LEGO® Architecture series.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, history and architecture.
This set includes over 1,000 LEGO® pieces.
The scale of this model matches the LEGO® Architecture 21022 Lincoln Memorial.
This set offers an age-appropriate building experience for ages 12+.
Measures over 6” (16cm) high, 17” (44cm) wide and 5”(14cm) deep.",Average,United States Capitol Building,4.6,Architecture,4.3,BE,Niños mayores - Adultos,21030-1,2016.0,1032.0,https://cdn.rebrickable.com/media/sets/21030-1.jpg
12+,101.39220000000002,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030.0,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focuses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
LEGO® Architecture interpretation of the real-world architectural landmark, the United States Capitol Building.
Features the Capitol's neoclassical façade, dome, colonnades, north and south wings, steps and lawns.
Remove the dome to access the rotunda, featuring columns, 8 statue elements and a tiled floor.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
Collect the entire LEGO® Architecture series.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, history and architecture.
This set includes over 1,000 LEGO® pieces.
The scale of this model matches the LEGO® Architecture 21022 Lincoln Memorial.
This set offers an age-appropriate building experience for ages 12+.
Measures over 6” (16cm) high, 17” (44cm) wide and 5”(14cm) deep.",Average,United States Capitol Building,4.6,Architecture,4.3,CA,Niños mayores - Adultos,21030-1,2016.0,1032.0,https://cdn.rebrickable.com/media/sets/21030-1.jpg
12+,121.38,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030.0,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focusses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
LEGO® Architecture interpretation of the real-world architectural landmark, the United States Capitol Building.
Features the Capitol's neoclassical façade, dome, colonnades, north and south wings, steps and lawns.
Remove the dome to access the rotunda, featuring columns, 8 statue elements and a tiled floor.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
Collect the entire LEGO® Architecture series.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, history and architecture.
This set includes over 1,000 LEGO® pieces.
The scale of this model matches the LEGO® Architecture 21022 Lincoln Memorial.
This set offers an age-appropriate building experience for ages 12+.
Measures over 6” (16cm) high, 17” (44cm) wide and 5”(14cm) deep.",Average,United States Capitol Building,4.6,Architecture,4.3,CH,Niños mayores - Adultos,21030-1,2016.0,1032.0,https://cdn.rebrickable.com/media/sets/21030-1.jpg
12+,129.55200000000002,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030.0,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focusses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
LEGO® Architecture interpretation of the real-world architectural landmark, the United States Capitol Building.
Features the Capitol's neoclassical façade, dome, colonnades, north and south wings, steps and lawns.
Remove the dome to access the rotunda, featuring columns, 8 statue elements and a tiled floor.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
Collect the entire LEGO® Architecture series.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, history and architecture.
This set includes over 1,000 LEGO® pieces.
The scale of this model matches the LEGO® Architecture 21022 Lincoln Memorial.
This set offers an age-appropriate building experience for ages 12+.
Measures over 6” (16cm) high, 17” (44cm) wide and 5”(14cm) deep.",Average,United States Capitol Building,4.6,Architecture,4.3,CZ,Niños mayores - Adultos,21030-1,2016.0,1032.0,https://cdn.rebrickable.com/media/sets/21030-1.jpg
12+,121.9878,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030.0,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focusses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
LEGO® Architecture interpretation of the real-world architectural landmark, the United States Capitol Building.
Features the Capitol's neoclassical façade, dome, colonnades, north and south wings, steps and lawns.
Remove the dome to access the rotunda, featuring columns, 8 statue elements and a tiled floor.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
Collect the entire LEGO® Architecture series.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, history and architecture.
This set includes over 1,000 LEGO® pieces.
The scale of this model matches the LEGO® Architecture 21022 Lincoln Memorial.
This set offers an age-appropriate building experience for ages 12+.
Measures over 6” (16cm) high, 17” (44cm) wide and 5”(14cm) deep.",Average,United States Capitol Building,4.6,Architecture,4.3,DE,Niños mayores - Adultos,21030-1,2016.0,1032.0,https://cdn.rebrickable.com/media/sets/21030-1.jpg
12+,107.88,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030.0,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focusses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
LEGO® Architecture interpretation of the real-world architectural landmark, the United States Capitol Building.
Features the Capitol's neoclassical façade, dome, colonnades, north and south wings, steps and lawns.
Remove the dome to access the rotunda, featuring columns, 8 statue elements and a tiled floor.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
Collect the entire LEGO® Architecture series.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, history and architecture.
This set includes over 1,000 LEGO® pieces.
The scale of this model matches the LEGO® Architecture 21022 Lincoln Memorial.
This set offers an age-appropriate building experience for ages 12+.
Measures over 6” (16cm) high, 17” (44cm) wide and 5”(14cm) deep.",Average,United States Capitol Building,4.6,Architecture,4.3,DN,Niños mayores - Adultos,21030-1,2016.0,1032.0,https://cdn.rebrickable.com/media/sets/21030-1.jpg
12+,121.9878,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030.0,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focusses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
LEGO® Architecture interpretation of the real-world architectural landmark, the United States Capitol Building.
Features the Capitol's neoclassical façade, dome, colonnades, north and south wings, steps and lawns.
Remove the dome to access the rotunda, featuring columns, 8 statue elements and a tiled floor.
The included booklet contains information about the design, architecture and history of the building (English language only. Other languages available for download at LEGO.com/architecture).
Collect the entire LEGO® Architecture series.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, history and architecture.
This set includes over 1,000 LEGO® pieces.
The scale of this model matches the LEGO® Architecture 21022 Lincoln Memorial.
This set offers an age-appropriate building experience for ages 12+.
Measures over 6” (16cm) high, 17” (44cm) wide and 5”(14cm) deep.",Average,United States Capitol Building,4.6,Architecture,4.3,ES,Niños mayores - Adultos,21030-1,2016.0,1032.0,https://cdn.rebrickable.com/media/sets/21030-1.jpg
